levelname,minsolutionlength,solution,numberofmoves,maxnumcandidatesinmem,numvisitedstates,visitedstateimproved,visitedstatedropped
levels/P1L01,4,"(3,4)-MSE-U/(1,4)-MSE-L/(6,4)-SQR-U/(1,4)-SQR-R/",59,4,10,0,44,
levels/P1L02,4,"(5,6)-SQR-U/(4,3)-MSE-R/(2,6)-SQR-D/(3,6)-SQR-L/",34,4,7,0,26,
levels/P1L03,6,"(3,5)-MSE-L/(3,3)-MSE-U/(3,2)-MSE-R/(3,7)-MSE-U/(3,8)-SQR-L/(3,2)-SQR-D/",316,14,39,0,263,
levels/P1L04,7,"(2,3)-MSE-R/(4,3)-SQR-U/(2,6)-MSE-D/(2,3)-SQR-R/(2,6)-SQR-D/(5,6)-SQR-L/(5,4)-SQR-D/",196,16,40,2,155,
levels/P1L05,6,"(4,2)-MSE-R/(4,6)-MSE-D/(4,7)-SQR-L/(5,6)-MSE-U/(4,2)-SQR-R/(4,5)-SQR-U/",49,3,8,0,40,
levels/P1L06,5,"(2,7)-SQR-D/(4,7)-SQR-L/(2,4)-HOG-R/(4,5)-SQR-U/(2,5)-SQR-L/",42,2,6,0,25,
levels/P1L07,4,"(4,6)-HOG-U/(3,6)-HOG-L/(3,4)-HOG-U/(4,2)-SQR-R/",199,16,34,0,132,
levels/P1L08,15,"(3,1)-SQR-R/(3,3)-SQR-U/(4,4)-HOG-L/(4,2)-HOG-U/(3,2)-HOG-L/(1,3)-SQR-D/(1,7)-HOG-L/(4,3)-SQR-R/(4,6)-SQR-D/(1,5)-HOG-D/(4,5)-HOG-L/(5,6)-SQR-U/(3,6)-SQR-L/(3,5)-SQR-U/(1,5)-SQR-R/",5223,86,490,16,4050,
levels/P1L09,7,"(1,6)-SQR-L/(6,3)-MSE-R/(6,5)-MSE-U/(1,3)-SQR-R/(1,4)-SQR-D/(3,4)-SQR-R/(3,7)-SQR-D/",68,12,19,0,48,
levels/P1L10,6,"(1,3)-MSE-R/(1,7)-MSE-L/(1,5)-MSE-D/(1,2)-SQR-R/(1,5)-SQR-D/(5,5)-SQR-R/",267,10,30,0,236,
levels/P1L11,9,"(4,6)-SQR-L/(1,7)-MSE-D/(2,7)-MSE-L/(2,5)-MSE-D/(5,5)-MSE-R/(5,6)-MSE-U/(4,2)-SQR-R/(4,5)-SQR-U/(1,5)-SQR-L/",234,13,41,0,184,
levels/P1L12,8,"(3,7)-MSE-L/(3,5)-MSE-U/(3,3)-HOG-D/(4,3)-HOG-R/(2,5)-MSE-D/(1,5)-SQR-D/(4,5)-SQR-L/(4,2)-SQR-U/",1001,35,126,1,766,
levels/P1L13,6,"(4,6)-SQR-U/(3,3)-HOG-R/(3,5)-HOG-D/(2,6)-SQR-L/(2,4)-SQR-D/(3,4)-SQR-L/",414,23,57,1,274,
levels/P1L14,8,"(4,8)-SQR-D/(3,8)-MSE-D/(5,8)-MSE-L/(6,8)-SQR-U/(5,3)-MSE-U/(1,8)-SQR-L/(1,4)-SQR-D/(3,4)-SQR-L/",154,15,33,0,120,
levels/P1L15,10,"(5,6)-SQR-U/(4,4)-MSE-U/(2,4)-MSE-R/(6,6)-MSE-U/(2,6)-MSE-L/(1,6)-SQR-D/(2,4)-MSE-D/(2,6)-SQR-L/(2,4)-SQR-D/(5,4)-SQR-L/",866,41,111,0,753,
